Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
Body Chemistry 4: Full Exposure (Video 1995) - IMDb,Jim Wynorski,4.2,Erotic Thriller,Shannon Tweed,1995,583,R
Body Language (TV Movie 1995) - IMDb,George Case,4.8,Erotic Thriller,Tom Berenger,1995,581,R
The Body of a Poet: A Tribute to Audre Lorde (Short 1995) - IMDb,Sonali Fernando,N/A,Short,N/A,1995,N/A,29m
Bodybuilding Report (Video 1995) - IMDb,Jeanny Bee,N/A,N/A,Jeanny Bee,1995,N/A,1995
"Bohai, Bohau (TV Movie 1995) - IMDb",Didi Danquart,N/A,Satire,Robert Hunger-Bühler,1995,N/A,1h 20m
Bombay (1995) - IMDb,Mani Ratnam,8.1,Drama,Arvind Swamy,1995,14K,2h 10m
Bonanza: Under Attack (TV Movie 1995) - IMDb,Mark Tinker,5.8,Western,Ben Johnson,1995,331,PG
Bones of the Forest (1995) - IMDb,Heather Frise,7.8,Documentary,N/A,1995,18,1h 20m
Happiness Is in the Field (1995) - IMDb,Étienne Chatiliez,7.0,Comedy,Michel Serrault,1995,3K,1h 46m
Bonjour Timothy (1995) - IMDb,Wayne Tourell,6.0,Comedy,Dean O'Gorman,1995,182,1h 38m
The Boogeyman (Short 1982) - IMDb,Jeff Schiro,4.6,Horror,Michael Earl Reid,1982,750,28m
Book (Short 1994) - IMDb,Chris W. Mitchell,N/A,Drama,Herman van Breda,1994,N/A,15m
Book of Knives (Short 1995) - IMDb,Kim Derko,N/A,Short,N/A,1995,N/A,27m
Boomerang (1995) - IMDb,Trond Kvist,6.4,Documentary,"September 29, 1995 (Norway)",1995,36,1h 30m
The Scent of Joseph's Shirt (1995) - IMDb,Ebrahim Hatamikia,6.6,Drama,Niki Karimi,1995,1.8K,1h 40m
Running Wild (1995) - IMDb,Philippe Blot,4.6,Drama,Jennifer Barker,1995,53,1h 31m
Boston Kickout (1995) - IMDb,Paul Hills,6.0,Drama,Paul Hills,1995,458,1h 50m
Bound (Short 1995) - IMDb,Kimi Takesue,8.0,Short,N/A,1995,40,15m
Bowl: The Movie (1995) - IMDb,Nicholas Harrison,N/A,N/A,N/A,1995,N/A,N/A
Boxer Joe (1995) - IMDb,Junji Sakamoto,N/A,N/A,N/A,1995,N/A,N/A
A Boy Called Hate (1995) - IMDb,Mitch Marcus,5.0,Crime,Scott Caan,1995,321,1h 37m
"Boy Crazy, Girl Crazier (Short 1995) - IMDb",Illeana Douglas,5.0,Comedy,N/A,1995,25,21m
"Boys Life: Three Stories of Love, Lust, and Liberation (1994) - IMDb",Robert Lee King,7.3,Drama,James Andrews,1994,539,1h 31m
Boys on the Side (1995) - IMDb,Herbert Ross,6.5,Dark Comedy,Whoopi Goldberg,1995,14K,1h 55m
The Brady Bunch Movie (1995) - IMDb,Betty Thomas,6.2,Parody,Sherwood Schwartz,1995,25K,1h 30m
Braveheart (1995) - IMDb,Mel Gibson,8.3,Costume Drama,Mel Gibson,1995,1.1M,2h 58m
The Break (1995) - IMDb,Lee H. Katzin,5.4,Drama,Vincent Van Patten,1995,361,1h 40m
Breaking Free (1995) - IMDb,David Mackay,6.5,Drama,Jeremy London,1995,364,1h 46m
Bred vdvoyom (1995) - IMDb,Boris Milgram,4.9,Comedy,Mikhail Bezchastnov,1995,16,1h 15m
The Burning Snail (TV Movie 1996) - IMDb,Thomas Stiller,6.4,Drama,Barbara Auer,1996,75,1h 22m
Brennendes Herz (1996) - IMDb,Peter Patzak,4.9,Drama,Helmut Griem,1996,29,2h
The Bridges of Madison County (1995) - IMDb,Clint Eastwood,7.6,Drama,Clint Eastwood,1995,91K,2h 15m
Broadcast Bombshells (1995) - IMDb,Ernest G. Sauer,3.2,Comedy,Amy Lynn Baxter,1995,192,1h 20m
Broken Bars (1995) - IMDb,Tom Neuwirth,5.3,Action,Ben Maccabee,1995,63,1h 37m
Broken Pieces (1995) - IMDb,Joerg Taszman,N/A,N/A,N/A,1995,N/A,55m
Broken Trust (TV Movie 1995) - IMDb,Geoffrey Sax,5.7,Thriller,Tom Selleck,1995,331,Not Rated
Brooms (Short 1996) - IMDb,Luke Cresswell,7.2,Music,Luke Cresswell,1996,83,16m
The Brothers McMullen (1995) - IMDb,Edward Burns,6.6,Comedy,Jack Mulcahy,1995,8.3K,1h 38m
Brothers in Trouble (1995) - IMDb,Udayan Prasad,6.5,Dark Comedy,Om Puri,1995,148,1h 42m
"""Schwurgericht"" Bruder, ich brauche dein Blut (TV Episode 1996) - IMDb",Erwin Keusch,N/A,Crime,Klaus Wennemann,N/A,N/A,1h 50m
Brylcream Boulevard (1995) - IMDb,Robbe De Hert,5.7,Comedy,Michael Pas,1995,222,1h 35m
Brüder auf Leben und Tod (TV Movie 1995) - IMDb,Friedemann Fromm,3.4,Mystery,Gottfried John,1995,15,1h 33m
I'm Your Birthday Cake (1995) - IMDb,Wai-Man Yip,5.2,Comedy,Fai-Hung Chan,1995,114,1h 34m
Another Sky (1995) - IMDb,David Da-Wei Chiang,6.1,Comedy,Ching Wan Lau,1995,35,1h 41m
Babuschka (TV Movie 1996) - IMDb,Petra Haffter,3.6,Drama,Inge Meysel,1996,8,1h
Black Holes (1995) - IMDb,Pappi Corsicato,6.1,Comedy,Iaia Forte,1995,210,1h 37m
A Bucket of Blood (TV Movie 1995) - IMDb,Michael McDonald,4.9,Dark Comedy,Anthony Michael Hall,1995,529,R
Bulan Tertusuk Ilalang (1995) - IMDb,Garin Nugroho,7.1,Drama,Wiwiek Handawiyah,1995,60,2h 5m
Buljong (1995) - IMDb,Carl Johan De Geer,6.0,Drama,Iwa Boman,1995,16,1h 14m
Bunte Hunde (1995) - IMDb,Lars Becker,5.6,Crime,Oana Solomon,1995,69,1h 40m
Burgenland 1945 - Historische Spurensuche (Short 1995) - IMDb,Herbert Zechmeister,N/A,Short,N/A,1995,N/A,32m
Burial of the Rats (TV Movie 1995) - IMDb,Dan Golden,4.1,Adventure,Bram Stoker,1995,543,R
Cachito (1996) - IMDb,Enrique Urbizu,5.4,Adventure,Francisco Pino,1996,192,1h 35m
Cafe Society (1995) - IMDb,Raymond De Felitta,5.6,Drama,Frank Whaley,1995,433,1h 47m
Caged Hearts (1995) - IMDb,Henri Charr,4.2,Drama,Carrie Genzel,1995,191,1h 34m
Caged Heat 3000 (1995) - IMDb,Aaron Osborne,3.6,Action,Lisa Boyle,1995,419,1h 20m
Cagney & Lacey: Together Again (TV Movie 1995) - IMDb,Reza Badiyi,6.8,Crime,Barbara Avedon,1995,206,TV-PG
Cagney & Lacey: True Convictions (TV Movie 1996) - IMDb,Lynne Littman,6.6,Crime,Sharon Gless,1996,169,TV-PG
California Heat (1995) - IMDb,Richard Brandes,5.4,Comedy,Ken Fording,1995,52,1h 27m
Call Girl (1995) - IMDb,Rob Spera,3.6,Drama,Meilani Paul,1995,150,1h 23m
Midaq Alley (1995) - IMDb,Jorge Fons,7.3,Drama,Ernesto Gómez Cruz,1995,3.5K,2h 20m
"""Lifestories: Families in Crisis"" A Child Betrayed: The Calvin Mire Story (TV Episode 1994) - IMDb",Juan José Campanella,7.5,Drama,Blake Bashoff,TV-14,48,TV-14
Camerieri (1995) - IMDb,Leone Pompucci,6.3,Comedy,Paolo Villaggio,1995,450,1h 41m
Caminante no hay camino (1995) - IMDb,Teresa Saldarriaga,N/A,N/A,N/A,1995,N/A,N/A
Canaleo (Short 1995) - IMDb,Edgar Soberón Torchia,N/A,Documentary,Orlando Vidal,1995,N/A,15m
Candyman: Farewell to the Flesh (1995) - IMDb,Bill Condon,5.3,Slasher Horror,Tony Todd,1995,15K,1h 35m
Captain Nuke and the Bomber Boys (1996) - IMDb,Charles Gale,4.6,Comedy,Joe Mantegna,1996,306,1h 30m
Captiva Island (1995) - IMDb,John Biffar,5.9,Comedy,John Biffar,1995,97,1h 25m
Sex & the Other Man (1995) - IMDb,Karl Slovin,4.6,Comedy,Stanley Tucci,1995,573,1h 29m
Captured Alive (1997) - IMDb,Chris McIntyre,4.1,Action,Dan Pinto,1997,57,1h 30m
Caramelle (Short 1995) - IMDb,Cinzia TH Torrini,5.4,Drama,Stefania Sandrelli,1995,92,29m
Carl Th. Dreyer: My Métier (1995) - IMDb,Torben Skjødt Jensen,6.7,Biography,Clara Pontoppidan,1995,524,1h 36m
Monzon Case: Second Trial (1996) - IMDb,Gabriel Arbós,5.0,True Crime,Norma Aleandro,1996,68,1h 32m
Carmen & Babyface (1995) - IMDb,Jon Bang Carlsen,4.8,Drama,Sofie Gråbøl,1995,61,1h 21m
Carnosaur 2 (1995) - IMDb,Louis Morneau,3.7,Action,John Savage,1995,2.3K,1h 23m
Carogne (1995) - IMDb,Enrico Caria,5.7,N/A,Enrico Caria,1995,22,1h 25m
Carpe Diem (1995) - IMDb,Manu Luksch,N/A,Comedy,N/A,1995,N/A,N/A
Carrington (1995) - IMDb,Christopher Hampton,6.8,Period Drama,Emma Thompson,1995,5.8K,2h 1m
Carrotblanca (Short 1995) - IMDb,Douglas McCarthy,7.1,Hand-Drawn Animation,Joe Alaskey,1995,1.3K,8m
Carver's Gate (TV Movie 1996) - IMDb,Sheldon Inkol,3.7,Action,Doug Bagot,1996,230,Not Rated
Una casa en las afueras (1995) - IMDb,Pedro Costa,5.7,Drama,Pedro Costa,1995,170,1h 37m
Casino (1995) - IMDb,Martin Scorsese,8.2,Docudrama,Nicholas Pileggi,1995,579K,2h 58m
Casper (1995) - IMDb,Brad Silberling,6.2,Supernatural Fantasy,Bill Pullman,1995,151K,1h 40m
Castle Freak (Video 1995) - IMDb,Stuart Gordon,5.9,Drama,Stuart Gordon,1995,11K,R
Castle Ghosts of England (1995) - IMDb,Alexandra Beazley,7.6,N/A,Robert Hardy,1995,53,N/A
Catwalk (1995) - IMDb,Robert Leacock,7.1,Documentary,Christy Turlington,1995,378,1h 35m
Caught in the Act (Video 1997) - IMDb,Mark Greenstreet,4.6,Comedy,Sara Crowe,1997,112,1h 30m
Cazadores de utopías (1996) - IMDb,David Blaustein,7.5,Documentary,N/A,1996,34,2h 30m
Cellblock Sisters: Banished Behind Bars (1995) - IMDb,Henri Charr,3.6,Crime,Annie Wood,1995,481,1h 35m
Cello (1995) - IMDb,Philipp Mosser,N/A,N/A,N/A,1995,N/A,N/A
The Celluloid Closet (1995) - IMDb,Rob Epstein,7.8,Documentary,Vito Russo,1995,7.6K,1h 42m
Celluloide (1996) - IMDb,Carlo Lizzani,6.6,Drama,Ugo Pirro,1996,205,1h 50m
El censor (1995) - IMDb,Eduardo Calcagno,6.1,Drama,Ulises Dumont,1995,97,1h 50m
One Hundred and One Nights (1995) - IMDb,Agnès Varda,6.5,Comedy,Michel Piccoli,1995,2K,1h 44m
Chain of Command (1994) - IMDb,David Worth,4.2,Dark Comedy,Michael Dudikoff,1994,648,1h 37m
Chameleon (1995) - IMDb,Michael Pavone,5.9,Thriller,Anthony LaPaglia,1995,492,1h 48m
The Champagne Safari (1995) - IMDb,George Ungar,7.0,Documentary,Jim Morris,1995,51,1h 40m
Change the Frame (1996) - IMDb,Christina Rey,N/A,N/A,N/A,1996,N/A,1h 33m
Super Citizen Ko (1995) - IMDb,Jen Wan,7.1,Drama,Chiu-Yen Chen,1995,284,2h 1m
Angel Heart (1995) - IMDb,Yen-Ping Chu,5.0,Drama,Franco Chiang,1995,267,1h 40m
The Chicken from Outer Space (Short 1996) - IMDb,John Dilworth,7.6,Alien Invasion,N/A,1996,933,8m
A Child Is Missing (TV Movie 1995) - IMDb,John Power,6.1,Action,Henry Winkler,1995,156,1h 25m
"""CBS Schoolbreak Special"" Children Remember the Holocaust (TV Episode 1995) - IMDb",Mark Gordon,7.2,Adventure,Keanu Reeves,N/A,114,N/A
Choices of the Heart: The Margaret Sanger Story (TV Movie 1995) - IMDb,Paul Shapiro,6.7,Biography,Dana Delany,1995,187,1h 32m
Love Sick (1995) - IMDb,Savi Gabizon,6.7,Comedy,Avigail Ariely,1995,234,1h 34m
Chopsticks (TV Movie 1995) - IMDb,Ron Termaat,7.4,Drama,Manon Alving,1995,15,56m
The Christmas Box (TV Movie 1995) - IMDb,Marcus Cole,7.0,Drama,Richard Thomas,1995,1.3K,G
A Christmas Carol (Video 1997) - IMDb,Stan Phillips,6.0,Adventure,Tim Curry,1997,968,PG
The Meaning of Life (1995) - IMDb,Yat-Ping Wong,6.7,Drama,Lawrence Cheng,1995,9,N/A
Chuck and Wally on the Road (Short 1995) - IMDb,Vernon Zimmerman,N/A,Short,N/A,1995,N/A,6m
Chyornaya vual (1995) - IMDb,Aleksandr Proshkin,5.9,Crime,Irina Metlitskaya,1995,61,1h 37m
Lover of the Last Empress (1995) - IMDb,Wai Keung Lau,5.6,Drama,Chingmy Yau,1995,357,1h 40m
Those Were the Days... (1995) - IMDb,Billy Hin-Shing Tang,6.1,Crime,San-Chi Chan,1995,28,1h 31m
Il cielo è sempre più blu (1996) - IMDb,Antonello Grimaldi,5.6,Drama,Asia Argento,1996,261,1h 50m
Cilantro y perejil (1996) - IMDb,Rafael Montero,6.3,Comedy,Arcelia Ramírez,1996,493,1h 30m
"""Century of Cinema"" Cinema de Lágrimas (TV Episode 1995) - IMDb",Nelson Pereira dos Santos,5.7,Biography,Raul Cortez,N/A,86,1h 35m
"""Century of Cinema"" Cinema of Unease: A Personal Journey by Sam Neill (TV Episode 1995) - IMDb",Sam Neill,7.3,Biography,Timothy Balme,N/A,151,52m
Cinematographie Lumière (TV Short 1995) - IMDb,Martina Müller,N/A,Documentary,N/A,1995,N/A,1995
Circle of Friends (1995) - IMDb,Pat O'Connor,6.6,Drama,Chris O'Donnell,1995,9.4K,1h 43m
Circumstances Unknown (TV Movie 1995) - IMDb,Robert Michael Lewis,4.4,Thriller,Judd Nelson,1995,156,R
Citizen X (TV Movie 1995) - IMDb,Chris Gerolmo,7.4,Docudrama,Stephen Rea,1995,24K,R
The City of Lost Children (1995) - IMDb,Marc Caro,7.5,Dark Comedy,Gilles Adrien,1995,73K,1h 52m
Claim (Short 1995) - IMDb,Betty Spackman,N/A,Short,N/A,1995,N/A,15m
"""Rik Mayall Presents"" Clair de Lune (TV Episode 1995) - IMDb",Paul Unwin,7.1,N/A,Rik Mayall,N/A,224,1h
"Class of Nuke 'Em High Part 3: The Good, the Bad and the Subhumanoid (1994) - IMDb",Eric Louzil,4.1,Parody,Lloyd Kaufman,1994,1.4K,1h 42m
Classic Widows (TV Movie 1995) - IMDb,Ken Russell,8.3,Documentary,Ken Russell,1995,20,53m
Les clients d'Avrenos (TV Movie 1996) - IMDb,Philippe Venault,7.1,Drama,Jacques Gamblin,1996,17,1h 40m
Clockers (1995) - IMDb,Spike Lee,6.9,Crime,Richard Price,1995,24K,2h 8m
Clocks (Short 1995) - IMDb,Kirsten Winter,6.5,Animation,N/A,1995,13,7m
Clockwork Mice (1995) - IMDb,Vadim Jean,6.3,Drama,Ian Hart,1995,349,1h 40m
Wallace & Gromit: A Close Shave (Short 1995) - IMDb,Nick Park,8.1,Farce,Peter Sallis,1995,44K,30m
Closer and Closer (TV Movie 1996) - IMDb,Fred Gerber,5.4,Thriller,Kim Delaney,1996,322,Not Rated
Closet Case (Short 1995) - IMDb,Wrik Mead,N/A,Short,N/A,1995,N/A,3m
The Cloud Door (Short 1994) - IMDb,Mani Kaul,5.5,Drama,Anu Agarwal,1994,398,29m
Club Las Piranjas (TV Movie 1995) - IMDb,Ulli Baumann,6.9,Satire,Hape Kerkeling,1995,715,1h 29m
Club Vacanze (1995) - IMDb,Alfonso Brescia,4.6,Comedy,Alfonso Brescia,1995,43,1h 32m
Clueless (1995) - IMDb,Amy Heckerling,6.9,Coming-of-Age,Alicia Silverstone,1995,256K,1h 37m
"Co-realities, Knowbotic South (1995) - IMDb",Austria,N/A,N/A,N/A,1995,N/A,N/A
Planet Blue (1995) - IMDb,Gur Bentwich,6.6,Adventure,Alon Aboutboul,1995,148,1h 26m
God's Comedy (1995) - IMDb,João César Monteiro,7.2,Comedy,Cláudia Teixeira,1995,1.4K,2h 50m
Concert for a Rat (1995) - IMDb,Oleg Kovalov,6.3,Fantasy,Daniil Kharms,1995,41,1h 50m
Condition Red (1995) - IMDb,Mika Kaurismäki,4.8,Action,James Russo,1995,388,1h 23m
Conducting Mahler (1995) - IMDb,Frank Scheffer,7.7,Documentary,Claudio Abbado,1995,31,1h 15m
The Confessional (1995) - IMDb,Robert Lepage,7.4,Drama,Lothaire Bluteau,1995,1.6K,1h 40m
Congo (1995) - IMDb,Frank Marshall,5.3,Action,Laura Linney,1995,50K,1h 49m
The Convent (1995) - IMDb,Manoel de Oliveira,5.9,Drama,Catherine Deneuve,1995,1.1K,1h 30m
A Conversation with Ken Kesey (Short 1995) - IMDb,Paul Chart,6.9,Short,N/A,1995,11,8m
"""The Outer Limits"" The Conversion (TV Episode 1995) - IMDb",Rebecca De Mornay,7.7,Drama,John Savage,TV-PG,704,45m
Convict Cowboy (TV Movie 1995) - IMDb,Rod Holcomb,5.7,Drama,Jon Voight,1995,281,R
Copa Kagrana (1995) - IMDb,Niki List,4.5,N/A,Gerald Pichowetz,1995,7,N/A
The Copy of Murder (1995) - IMDb,"December 12, 1995 (Russia)",N/A,N/A,"December 12, 1995 (Russia)",1995,N/A,N/A
Copycat (1995) - IMDb,Jon Amiel,6.6,Psychological Thriller,Sigourney Weaver,1995,68K,2h 3m
Corazones negros (1995) - IMDb,Gabriela Rangel,N/A,N/A,N/A,1995,N/A,N/A
Haircut (1995) - IMDb,Joaquim Sapinho,5.6,Drama,Carla Bolito,1995,262,1h 31m
Coswig und Sohn (TV Movie 1995) - IMDb,Michael Braun,7.0,Drama,Robert Atzorn,1995,8,1h 29m
When the Vows Break (TV Movie 1995) - IMDb,Eric Till,6.6,Drama,Patty Duke,1995,78,Not Rated
The Courtyard (TV Movie 1995) - IMDb,Fred Walton,5.1,Action,Andrew McCarthy,1995,351,R
At All Costs (1995) - IMDb,Claire Simon,7.2,Documentary,N/A,1995,41,1h 35m
Cover Me (1995) - IMDb,Michael Schroeder,3.4,Erotic Thriller,Rick Rossovich,1995,280,1h 34m
Crackerjack (Short 1995) - IMDb,Alex Wolfe,N/A,Short,Isabel Gillies,1995,N/A,16m
Cramps (Short 1995) - IMDb,Penny Gay,5.4,Short,N/A,1995,11,6m
Breach of Trust (1995) - IMDb,Charles Wilkinson,5.2,Action,Gordon Basichis,1995,516,1h 36m
"""Screen Two"" Crazy for a Kiss (TV Episode 1995) - IMDb",Chris Bould,7.3,Drama,Michael McShane,TV-14,42,TV-14
Creep (1995) - IMDb,Tim Ritter,4.5,Horror,Kathy Willets,1995,270,1h 31m
Criaturas Que Nasciam em Segredo (Short 1995) - IMDb,Chico Teixeira,7.0,Documentary,N/A,1995,9,22m
"""Cycle Simenon"" Le crime de monsieur Stil (TV Episode 1995) - IMDb",Claire Devers,6.4,N/A,Bernard Verley,N/A,16,1h 39m
Criminal (1994) - IMDb,Mahesh Bhatt,5.7,Action,Nagarjuna Akkineni,1994,589,2h 3m
Criminal Hearts (Video 1996) - IMDb,Dave Payne,4.5,Action,Kevin Dillon,1996,307,R
Crimson Tide (1995) - IMDb,Tony Scott,7.3,Action,Michael Schiffer,1995,127K,1h 56m
Croce e delizia (1995) - IMDb,Luciano De Crescenzo,6.0,Comedy,Luciano De Crescenzo,1995,73,1h 40m
La croisade d'Anne Buridan (1995) - IMDb,Judith Cahen,6.1,Comedy,Judith Cahen,1995,19,1h 25m
Cronaca di un amore violato (1995) - IMDb,Giacomo Battiato,5.6,Drama,Roberto Zibetti,1995,107,1h 45m
The Crossing Guard (1995) - IMDb,Sean Penn,6.3,Drama,Jack Nicholson,1995,15K,1h 51m
Crowfoot (TV Movie 1995) - IMDb,James Whitmore Jr.,6.0,Crime,Jim Davidson,1995,84,1h 26m
The Crude Oasis (1993) - IMDb,Alex Graves,4.9,Drama,Jennifer Taylor,1993,126,1h 21m
Cruel Jaws (Video 1995) - IMDb,Bruno Mattei,3.4,Action,Robert Feen,1995,1.8K,Not Rated
A Cry for Help (1995) - IMDb,Dino Meniku,N/A,N/A,Peter James,1995,N/A,N/A
"Cry, the Beloved Country (1995) - IMDb",Darrell Roodt,6.8,Legal Drama,Richard Harris,1995,2.1K,1h 46m
Crying Freeman (1995) - IMDb,Christophe Gans,6.4,Gun Fu,Kazuo Koike,1995,14K,1h 42m
Csajok (1996) - IMDb,Ildikó Szabó,6.9,Satire,Dorottya Udvaros,1996,82,1h 33m
Csókkal és körömmel (1995) - IMDb,György Szomjas,N/A,Drama,Beáta Papp,1995,N/A,1h 30m
Cuerdas de mi ciudad (Short 1996) - IMDb,Mayra Vilasis,N/A,Documentary,N/A,1996,N/A,16m
Culture Clash - Culture Flash (Short 1995) - IMDb,Eva Brunner-Szabo,N/A,Short,N/A,1995,N/A,1m
Fox Hunter (1995) - IMDb,Wei Tung,6.0,Action,To-Hoi Kong,1995,88,1h 32m
Cuore cattivo (1995) - IMDb,Umberto Marino,6.5,Crime,Umberto Marino,1995,145,1h 32m
The Cure (1995) - IMDb,Peter Horton,7.7,Adventure,Joseph Mazzello,1995,11K,1h 37m
Curtains (Short 1995) - IMDb,Mark Morgenstern,6.9,Short,Stephanie Morgenstern,1995,12,12m
Curtis's Charm (1995) - IMDb,John L'Ecuyer,6.7,Comedy,Maurice Dean Wint,1995,242,1h 14m
Cutthroat Island (1995) - IMDb,Renny Harlin,5.7,Quest,Michael Frost Beckner,1995,31K,2h 4m
Cyber Bandits (1995) - IMDb,Erik Fleming,3.5,Adventure,James Robinson,1995,198,1h 26m
Cyber-Tracker 2 (Video 1995) - IMDb,Richard Pepin,4.2,Action,Don Wilson,1995,758,R
Cyberjack (1995) - IMDb,Robert Lee,4.2,Action,Michael Dudikoff,1995,681,1h 39m
Cyber Vengeance (1995) - IMDb,J. Christian Ingvordsen,3.6,Action,Robert Davi,1995,300,1h 34m
Cyborg 3: The Recycler (Video 1994) - IMDb,Michael Schroeder,3.6,Action,Zach Galligan,1994,963,R
Cyborg Cop III (1995) - IMDb,Yossi Wein,3.5,Action,Jeff Albert,1995,417,1h 34m
Cyclo (1995) - IMDb,Anh Hung Tran,7.1,Crime,Le Van Loc,1995,5.7K,2h 3m
Cyclone! (TV Movie 1995) - IMDb,Richard J. Wells,7.7,Documentary,Howard Bluestein,1995,23,1995
La Cérémonie (1995) - IMDb,Claude Chabrol,7.5,Giallo,Ruth Rendell,1995,14K,1h 51m
Códigos de silencio (Short 1995) - IMDb,Edwin Mon,N/A,Documentary,Alfredo Castillero Hoyos,1995,N/A,26m
Lying Hero (1995) - IMDb,Siu-Hung Leung,7.6,Comedy,Bobbie Au-Yeung,1995,8,1h 33m
The Adventurers (1995) - IMDb,Ringo Lam,6.0,Gun Fu,Andy Lau,1995,487,1h 48m
Dada (Short 1997) - IMDb,Piet Kroon,7.3,Animation,N/A,1997,78,10m
Dachbodenstiege (Short 1995) - IMDb,Hubert Sielecki,N/A,Short,N/A,1995,N/A,3m
Dad and Dave: On Our Selection (1995) - IMDb,George Whaley,6.2,Comedy,Leo McKern,1995,227,1h 47m
"Dad, the Angel & Me (TV Movie 1995) - IMDb",Rick Wallace,5.3,Comedy,Judge Reinhold,1995,178,1h 30m
Dadetown (1995) - IMDb,Russ Hexter,7.0,Docudrama,Jim Pryor,1995,221,1h 33m
A Chinese Odyssey: Part One - Pandora's Box (1995) - IMDb,Jeffrey Lau,7.5,Wuxia,Stephen Chow,1995,8.7K,1h 27m
Only Fools Fall in Love (1995) - IMDb,Vincent Kok,6.4,Comedy,Roy Chiao,1995,244,1h 42m
Green Hat (1995) - IMDb,Alfred Cheung,8.2,Comedy,Alfred Cheung,1995,26,1h 29m
Daisies in December (TV Movie 1995) - IMDb,Mark Haber,7.6,Drama,Joss Ackland,1995,388,TV-PG
The Dallas Connection (1994) - IMDb,Christian Drew Sidaris,4.3,Action,Bruce Penhall,1994,1.2K,1h 34m
Dalmatinischer Hund (Short 1995) - IMDb,Oliver Marceta,N/A,Short,N/A,1995,N/A,7m
La dame du jeu (1998) - IMDb,Anna Brasi,7.2,Drama,Jean Yanne,1998,17,1h 26m
Dance of the Pendulum (1995) - IMDb,Jano Rosebiani,6.8,Comedy,Al Sapienza,1995,21,N/A
Dancer (1995) - IMDb,"October 27, 1995 (United States)",N/A,N/A,"October 27, 1995 (United States)",1995,N/A,N/A
Dancing in the Dark (TV Movie 1995) - IMDb,Bill Corcoran,5.7,Drama,Victoria Principal,1995,231,Not Rated
Dancing nuage (TV Movie 1995) - IMDb,Irène Jouannet,9.2,Drama,Mireille Perrier,1995,13,1h 28m
The Danger of Love: The Carolyn Warmus Story (TV Movie 1992) - IMDb,Joyce Chopra,4.9,Thriller,Joe Penny,1992,212,R
A Dangerous Affair (TV Movie 1995) - IMDb,Alan Metzger,5.6,Thriller,Connie Sellecca,1995,201,1h 36m
Dangerous Intentions (TV Movie 1995) - IMDb,Michael Toshiyuki Uno,6.1,Drama,Donna Mills,1995,612,Not Rated
Dangerous Minds (1995) - IMDb,John N. Smith,6.5,Biography,Michelle Pfeiffer,1995,58K,1h 39m
Dangerous Prey (1995) - IMDb,Lloyd A. Simandl,4.2,Action,Shannon Whirry,1995,316,1h 33m
"Daniel, Philipp und das Wunder der Liebe (TV Movie 1995) - IMDb",Axel de Roche,N/A,Drama,Toni Berger,1995,N/A,1h 30m
Vanished (TV Movie 1995) - IMDb,George Kaczender,5.6,Drama,George Hamilton,1995,298,TV-PG
Zoya (TV Movie 1995) - IMDb,Richard A. Colla,6.6,Drama,Melissa Gilbert,1995,714,TV-PG
Dans la cour des grands (1995) - IMDb,Florence Strauss,3.0,Drama,François Celier,1995,13,1h 33m
Dans la nuit (Short 1995) - IMDb,Stefan Schneider,N/A,Short,Camille Carte,1995,N/A,N/A
Dansen met de maan (Short 1995) - IMDb,Ewald Leuwsha,N/A,Short,Gijs Schoneveld,1995,N/A,15m
Day at the Beach (1997) - IMDb,Nick Veronis,5.9,Comedy,Nick Veronis,1997,31,1h 33m
Days of Our Lives (TV Series 1965– ) - IMDb,Irna Phillips,5.3,Soap Opera,Irna Phillips,1965–,7.7K,TV-14
Days of the Pentecost (1995) - IMDb,Lawrence Elbert,7.0,Comedy,Alexis Arquette,1995,10,1h 15m
De leid (Short 1995) - IMDb,Tobias Urban,N/A,Short,N/A,1995,N/A,4m
Dead Badge (1995) - IMDb,Douglas Barr,4.6,Action,Angela Alvarado,1995,144,1h 35m
Dead Cold (Video 1995) - IMDb,Kurt Anderson,4.9,Action,Kurt Anderson,1995,276,R
Dead Giveaway (1995) - IMDb,Paul Levine,5.6,Action,James MacPherson,1995,17,1h 32m
Dead Man (1995) - IMDb,Jim Jarmusch,7.5,Coming-of-Age,Johnny Depp,1995,105K,2h 1m
Dead Man Walking (1995) - IMDb,Tim Robbins,7.5,Legal Drama,Susan Sarandon,1995,103K,2h 2m
Dead Presidents (1995) - IMDb,Albert Hughes,6.9,Dark Comedy,Allen Hughes,1995,25K,1h 59m
Dead Weekend (TV Movie 1995) - IMDb,Amos Poe,2.5,Comedy,Stephen Baldwin,1995,407,R
Deadline for Murder: From the Files of Edna Buchanan (TV Movie 1995) - IMDb,Joyce Chopra,7.4,Crime,Derek Marlowe,1995,101,2h
Deadlocked: Escape from Zone 14 (TV Movie 1995) - IMDb,Graeme Campbell,5.0,Action,Broderick Miller,1995,286,R
Deadly Advice (1994) - IMDb,Mandie Fletcher,6.1,Comedy,Jane Horrocks,1994,350,1h 31m
"Deadly Embrace: Nicaragua, the World Bank and the International Monetary Fund (Short 1995) - IMDb",Elizabeth Canner,N/A,Documentary,N/A,1995,N/A,30m
Deadly Family Secrets (TV Movie 1995) - IMDb,Richard T. Heffron,5.1,Drama,Loni Anderson,1995,179,1h 35m
