Title,Director_name,Rating,Genres,Cast,Year,Number_of_votes,Runtime
The Steal (1995) - IMDb,John Hay,4.8,Comedy,Alfred Molina,1995,444,1h 31m
Stein & stjerner (1994) - IMDb,Lars Nilssen,7.0,Documentary,N/A,1994,9,1h 24m
Scattering Stars (Short 1994) - IMDb,Matthias Müller,5.5,Short,N/A,1994,21,2m
Stich ins Herz (TV Movie 1993) - IMDb,Hartmut Griesmayr,N/A,Drama,Ursela Monn,1993,N/A,1h 35m
Le bâton: The Stick (TV Movie 1994) - IMDb,Ron Byron,N/A,Comedy,Ron Byron,1994,N/A,27m
Stickfighter (1994) - IMDb,BJ Davis,5.3,Action,Kely McClung,1994,95,1h 29m
Stills (Short 1994) - IMDb,Mijke de Jong,N/A,Drama,Kumar Ayivor,1994,N/A,30m
Stockholm Marathon (1994) - IMDb,Peter Keglevic,5.4,Crime,Maj Sjöwall,1994,1.3K,1h 27m
The Stöned Age (1994) - IMDb,James Melkonian,6.2,Comedy,Michael Kopelow,1994,5.5K,1h 30m
Stories of Chide the Wind: The Soul Investigator (1994) - IMDb,Kal Ng,N/A,N/A,Edwin Cheung,1994,N/A,1h 22m
Straight from the Heart (Short 1994) - IMDb,Dee Mosbacher,5.8,Documentary,N/A,1994,38,24m
Weird Tales (1994) - IMDb,Sandro Baldoni,6.9,Drama,Flavio Bonacci,1994,171,1h 22m
Strange and Rich (1994) - IMDb,Arvi Liimatainen,7.2,Crime,Ron White,1994,20,N/A
Stranger by Night (Video 1994) - IMDb,Gregory Dark,4.5,Thriller,Steven Bauer,1994,206,R
Kana-Kana (1994) - IMDb,Taku Ohshima,6.2,N/A,Noriko Agata,1994,9,N/A
Summers Edge (1994) - IMDb,Jon Fitzgerald,N/A,N/A,N/A,1994,N/A,N/A
Summertime Switch (TV Movie 1994) - IMDb,Alan Metter,5.9,Comedy,Jason Weaver,1994,548,1h 25m
Solnechnye dni (Short 1994) - IMDb,Aleksey Medvedev,8.2,Short,N/A,1994,32,N/A
Sunny Side Up (1994) - IMDb,Bettina Speer,5.5,Comedy,Bettina Speer,1994,83,1h 20m
Super Dave's Vegas Spectacular (TV Series 1995– ) - IMDb,Rusty Meyers,7.4,N/A,Rusty Meyers,1995–,136,30m
Super Grass (Short 1994) - IMDb,Tom Vaughan,7.6,Short,Charlie Creed-Miles,1994,32,12m
Das Superhirn (Short 1994) - IMDb,Monika Halkort,N/A,Short,N/A,1994,N/A,30m
Suppenkasper (Short 1994) - IMDb,Günter Schwaiger,N/A,Short,N/A,1994,N/A,17m
Die Suppenkrise (Short 1994) - IMDb,Sebastian Andrae,N/A,Short,N/A,1994,N/A,9m
Surat Untuk Bidadari (1994) - IMDb,Garin Nugroho,6.6,Drama,Nurul Arifin,1994,54,1h 58m
"Surf, Sand and Sex (1994) - IMDb",Anthony Giovanni,4.8,Romance,Kim Sill,1994,57,1h 12m
Survanta (1994) - IMDb,Nilu Phule,N/A,N/A,N/A,1994,N/A,N/A
Surviving the Game (1994) - IMDb,Ernest R. Dickerson,6.2,Dark Comedy,Rutger Hauer,1994,14K,1h 36m
Suspicious (Short 1994) - IMDb,David Koepp,5.9,Horror,Janeane Garofalo,1994,282,15m
Suspicious Agenda (1995) - IMDb,Clay Borris,5.1,Action,Richard Grieco,1995,104,1h 37m
"Suvlaki ist Babylon: Komm, iß mit mir (Short 1994) - IMDb",Mara Mattuschka,N/A,Short,Hans Echnaton Schano,1994,N/A,40m
Suwapings (1994) - IMDb,Manny Reyes,N/A,Satire,Nanding Fernandez,1994,N/A,1h 40m
Svaki put kad se rastajemo (TV Movie 1997) - IMDb,Lukas Nola,6.3,Drama,Filip Nola,1997,66,1h 10m
Sven's Secret (TV Movie 1995) - IMDb,Roland Suso Richter,5.4,Crime,Katharina Meinecke,1995,20,1h 29m
Sverchok (Short 1994) - IMDb,Aleksandr Panov,N/A,Drama,Lev Borisov,1994,N/A,16m
The Whistler (1998) - IMDb,Pál Erdöss,5.5,Crime,Nina Agapova,1998,18,1h 25m
Swaham (1994) - IMDb,Shaji N. Karun,7.5,Drama,Aswani,1994,237,2h 21m
The Swan Princess (1994) - IMDb,Richard Rich,6.4,Fairy Tale,Richard Rich,1994,28K,1h 30m
Sweating Indian Style (1994) - IMDb,Susan Smith,6.6,Documentary,N/A,1994,9,57m
Crazy Love (1993) - IMDb,Roman Cheung,5.4,Comedy,Shui-Wah Fok,1993,711,1h 17m
Switchcraft (Short 1994) - IMDb,Konstantin Bronzit,6.4,Animation,N/A,1994,188,9m
Sword of Honor (Video 1994) - IMDb,Robert Tiffe,4.9,Action,Steven Vincent Leigh,1994,178,R
Syrup (Short 1994) - IMDb,Paul Unwin,6.8,Comedy,Bill Thomas,1994,78,11m
Szél (Short 1996) - IMDb,Marcell Iványi,7.7,Drama,N/A,1996,1.2K,6m
Sálvate si puedes (1995) - IMDb,Joaquín Trincado,6.1,Comedy,Imanol Arias,1995,35,1h 31m
Satantango (1994) - IMDb,Béla Tarr,8.2,Drama,László Krasznahorkai,1994,13K,7h 19m
The Separation (1994) - IMDb,Christian Vincent,6.9,Drama,Dan Franck,1994,1.2K,1h 28m
Südosttangente (1994) - IMDb,Hans Selikovsky,N/A,Documentary,N/A,1994,N/A,45m
Südvideo - Snowing (Short 1994) - IMDb,Gertrude Moser-Wagner,N/A,Short,N/A,1994,N/A,8m
T-Force (1994) - IMDb,Richard Pepin,4.8,Action,Jack Scalia,1994,717,1h 45m
Vietnamese Lady (1992) - IMDb,Ka Ka,5.2,Drama,Sakurako Akino,1992,62,1h 30m
De taal van geweld (Short 1994) - IMDb,Pieter Fleury,N/A,Short,N/A,1994,N/A,30m
The Taebaek Mountains (1994) - IMDb,Im Kwon-taek,6.9,Drama,Dong-joon Choi,1994,239,2h 48m
Tag der Abrechnung - Der Amokläufer von Euskirchen (TV Movie 1994) - IMDb,Peter Keglevic,6.8,Drama,Christoph Waltz,1994,108,1h 33m
You're Under Arrest! (TV Series 1996–2008) - IMDb,Miyu Irino,7.2,Anime,Miyu Irino,1996–2008,393,21m
Taint (Short 1994) - IMDb,Marc Edgar,N/A,Short,N/A,1994,N/A,6m
Take Me Home Again (TV Movie 1994) - IMDb,Tom McLoughlin,5.9,Drama,Kirk Douglas,1994,247,1h 30m
Hikayatul jawahiri thalath (1995) - IMDb,Michel Khleifi,7.3,Drama,Mohammed Nahnal,1995,182,1h 52m
Tales from a Hard City (1995) - IMDb,Kim Flitcroft,7.3,Comedy,Glen Brodie,1995,29,1h 20m
Talk (1994) - IMDb,Susan Lambert,5.3,Comedy,Jan Cornall,1994,33,1h 27m
Talking About Sex (1994) - IMDb,Aaron Speiser,5.9,Comedy,Carl Nelson,1994,47,1h 27m
Talking About the Weather (Short 1994) - IMDb,Carl Forest Sandler,N/A,Short,Carlo D'Amore,1994,N/A,11m
Tall Tale (1995) - IMDb,Jeremiah S. Chechik,5.9,Adventure,Patrick Swayze,1995,4.4K,1h 36m
Találkozás (1994) - IMDb,Tamás Almási,N/A,N/A,N/A,1994,N/A,N/A
Tammy and the T-Rex (1994) - IMDb,Stewart Raffill,5.3,Dark Comedy,Denise Richards,1994,6K,1h 22m
Tandem (1994) - IMDb,Toshiki Satô,5.6,Drama,Daikei Shimizu,1994,111,1h
Tankar om flickor (Short 1995) - IMDb,Fanny Danielsson,N/A,Short,N/A,1995,N/A,9m
Tarch Trip (1994) - IMDb,Hiroyuki Oki,6.9,Documentary,Tadayuki Kataoka,1994,21,1h 4m
Target of Suspicion (TV Movie 1994) - IMDb,Bob Swaim,5.6,Thriller,Tim Matheson,1994,62,1h 35m
Manisa Tarzani (1994) - IMDb,Orhan Oguz,5.8,Biography,Talat Bulut,1994,169,1h 41m
Tasogare no Einstein (1994) - IMDb,Kentaro Hachisuka,N/A,N/A,Aya Akahori,1994,N/A,1h 10m
"""Tatort"" ...und die Musi spielt dazu (TV Episode 1994) - IMDb",Hanns Christian Müller,5.9,Crime,Miroslav Nemec,TV-14,89,1h 28m
"""Tatort"" Bienzle und das Narrenspiel (TV Episode 1994) - IMDb",Hartmut Griesmayr,6.7,Crime,Dietz Werner Steck,TV-14,95,1h 30m
"""Tatort"" Der Rastplatzmörder (TV Episode 1994) - IMDb",Sylvia Hoffmann,5.5,Crime,Karl-Heinz von Hassel,TV-14,38,1h 30m
